family,threshold,threshold_fallback,recall_100,qps,size_mb,latency_ms,latency_p99_ms,build_s,rss_mb,rss_peak_mb,rss_delta_mb,config
HNSW,0.95,False,0.999814,1094.4159667526174,10341.63600730896,0.9148567404665906,0.9172484421789412,808.1177557649935,10432.1796875,19288.20703125,10165.671875,"M=32.0, efConstruction=400.0, efSearch=640.0"
IVFFlat,0.95,False,0.999998,5.657263420489138,10020.893801689148,176.8065651447333,176.89075572670404,55.62560458399821,13738.48046875,25766.6328125,9403.8515625,"nlist=256.0, nprobe=256.0"
IVFPQ,0.5,False,0.770916,279.86759712274016,176.17496871948242,3.573283952600226,3.573759310947935,180.72702600300545,4047.84765625,18424.06640625,-85.3828125,"nlist=1024.0, nprobe=256.0, M=128.0, nbits=8.0"
IVFSQ,0.95,False,0.992334,21.20056232716692,2514.071578979492,47.17280775239973,47.21146007770388,19.764869829996314,7828.33203125,18082.203125,3220.77734375,"nlist=256.0, nprobe=256.0, sq=SQ8"
LSH,0.2,False,0.39441,248.8992195314412,657.5699129104614,4.017143149599239,4.018655318779289,156.63829283000086,2835.30078125,13761.62109375,651.91015625,nbits=4096.0
