family,n,config,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100
IVFFlat,100000,"{'nlist': 4096, 'nprobe': 64}",130.72895402200083,814.044322013855,1452.0234375,2187.1640625,936.1484375,6548.680890490082,0.15281429816008313,0.15312874897689327,0.99108,0.97972,0.930688
IVFPQ,100000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",144.09967062799842,40.89787673950195,1395.65625,4871.98046875,263.60546875,22314.30785662267,0.04483624884005014,0.044936794983258005,0.55664,0.61846,0.6773696
IVFSQ,100000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",142.53706769300334,228.12248992919922,1102.40234375,2641.4765625,39.375,16961.8087311165,0.05903960646663715,0.059258727727219226,0.98408,0.974868,0.9298148
HNSW,100000,"{'M': 32, 'efC': 200, 'efS': 160}",11.600297263998073,807.209810256958,1847.46484375,3308.41015625,781.3203125,8327.18558040146,0.11999984590666524,0.1201829166672018,0.99452,0.993996,0.9827708
LSH,100000,{'nbits': 4096},12.152799285999208,80.82821369171143,1111.421875,3064.9921875,104.8984375,2336.442687148996,0.427902785599969,0.42800307643355334,0.39524,0.49874,0.5520412
IVFFlat,250000,"{'nlist': 4096, 'nprobe': 64}",268.2662321989992,1987.0637311935425,3192.31640625,5146.44140625,2069.90234375,1700.8381507330612,0.5875951445199704,0.5880837804272305,0.996,0.98956,0.9668332
IVFPQ,250000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",284.488429650999,51.19755935668945,1918.90234375,6567.6640625,29.79296875,18338.67511188101,0.05472710061333297,0.055290502333006586,0.51368,0.600164,0.6549128
IVFSQ,250000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",280.47517147500184,522.2356491088867,1900.09765625,4933.79296875,91.3203125,7780.886462550739,0.1285457808932794,0.12863726228938321,0.98604,0.982592,0.9646812
HNSW,250000,"{'M': 32, 'efC': 200, 'efS': 160}",47.4175508920016,2018.0150470733643,3453.2578125,6591.27734375,2016.63671875,5527.082195931422,0.18095862614660288,0.18112631328777642,0.99772,0.99762,0.9899824
LSH,250000,{'nbits': 4096},30.435351751999406,154.07040119171143,1511.421875,4637.4296875,122.984375,1141.1139736556777,0.8768883225200503,0.8791477490071556,0.33704,0.438332,0.5066672
IVFFlat,500000,"{'nlist': 4096, 'nprobe': 64}",297.1771688869994,3942.096079826355,6269.62890625,10423.43359375,4904.5,653.2755739306032,1.5309449935733574,1.5321302476520242,0.99556,0.992816,0.9793944
IVFPQ,500000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",317.8534527160009,68.36369705200195,3158.921875,9115.11328125,316.78125,14155.612333806377,0.07077535598674634,0.07111289945617319,0.4732,0.579788,0.6366436
IVFSQ,500000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",309.2992376750044,1012.4242477416992,2509.609375,6758.15234375,330.6484375,3249.0996963397088,0.30770062448000923,0.30778065110238384,0.98352,0.984176,0.9759336
HNSW,500000,"{'M': 32, 'efC': 200, 'efS': 160}",127.52934884699789,4036.0126667022705,5876.62890625,12185.17578125,4034.65625,4303.908772054205,0.23244465237337864,0.23308771867033792,0.99708,0.997036,0.9909808
LSH,500000,{'nbits': 4096},60.835360998993565,276.1407136917114,1936.4140625,7016.484375,245.26171875,614.5872880209571,1.6269266770533672,1.6276854754191998,0.30364,0.391688,0.465494
IVFFlat,1000000,"{'nlist': 4096, 'nprobe': 64}",357.5537875060036,7852.16077709198,11742.84765625,19887.58203125,10075.0078125,295.8689101962629,3.3807104869332396,3.382780458676687,0.9972,0.995328,0.9880452
IVFPQ,1000000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",388.9224703889995,102.69597244262695,4532.2578125,14396.63671875,438.94921875,9524.33431646162,0.10502701729312926,0.10524195205102442,0.43836,0.556112,0.6312244
IVFSQ,1000000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",370.3997141849977,1992.8014450073242,4162.24609375,11964.47265625,990.26171875,1262.20232131392,0.7897131033866511,0.7932470996911114,0.98212,0.983672,0.9829772
HNSW,1000000,"{'M': 32, 'efC': 200, 'efS': 160}",320.3375251000034,8072.0229206085205,9457.640625,21486.421875,8062.10546875,3681.7881933006065,0.2715493203999358,0.27165861941453184,0.998,0.997732,0.99206
LSH,1000000,{'nbits': 4096},122.16179211199778,520.2813386917114,1807.76953125,10796.02734375,543.94921875,318.23295093410013,3.1394239325867965,3.142649262240867,0.26548,0.342608,0.4162116
