family,scenario,threshold,threshold_fallback,recall_100,qps,size_mb,latency_ms,latency_p99_ms,build_s,rss_mb,rss_peak_mb,rss_delta_mb,config
HNSW,operational,0.95,False,0.958852,7891.37265432612,10185.3939037323,0.1267616846666593,0.1270935244467691,362.2881539410009,10279.02734375,20536.34765625,10012.69921875,"M=16.0, efConstruction=200.0, efSearch=80.0"
IVFFlat,operational,0.95,False,0.96964,1096.9731827569085,10147.016848564148,0.9113077864666896,0.911894117387652,2941.8852853309945,15563.05078125,26106.9140625,14104.97265625,"nlist=16384.0, nprobe=64.0"
IVFPQ,operational,0.0,True,0.770916,279.86759712274016,176.17496871948242,3.573283952600226,3.573759310947935,180.72702600300545,4047.84765625,18424.06640625,-85.3828125,"nlist=1024.0, nprobe=256.0, M=128.0, nbits=8.0"
IVFSQ,operational,0.95,False,0.988164,96.71742422417378,2514.071578979492,10.338700945132588,10.343120770211067,19.764869829996314,7828.33203125,18082.203125,3220.77734375,"nlist=256.0, nprobe=16.0, sq=SQ8"
LSH,operational,0.0,True,0.39441,248.8992195314412,657.5699129104614,4.017143149599239,4.018655318779289,156.63829283000086,2835.30078125,13761.62109375,651.91015625,nbits=4096.0
