algo,M,efConstruction,efSearch,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base,study
HNSW,16,200,640,112.8213121469962,3975.048578262329,4534.74609375,10866.1953125,3994.6875,8,2045.643595794405,0.4894585755648828,0.8858061806109617,0.9997,0.99975,0.99943,500000,varyM
HNSW,32,200,10,127.30076851000194,4036.0126667022714,4597.1171875,11071.390625,4033.9765625,8,28926.68955990129,0.0346881830000105,0.0523060917970724,0.9362,0.89242,0.634163,500000,varyM
HNSW,32,200,20,127.30076851000194,4036.0126667022714,4597.1171875,11071.390625,4033.9765625,8,20427.93650711224,0.0490336153343378,0.0780668417675769,0.9749,0.95832,0.801263,500000,varyM
HNSW,32,200,40,127.30076851000194,4036.0126667022714,4597.1171875,11071.390625,4033.9765625,8,13510.21877288692,0.0738796017644441,0.1242022019214346,0.9913,0.986,0.925384,500000,varyM
HNSW,32,200,80,127.30076851000194,4036.0126667022714,4597.1171875,11071.390625,4033.9765625,8,8524.857578916291,0.1173032908683429,0.2089679176700883,0.9974,0.99575,0.979358,500000,varyM
HNSW,32,200,160,127.30076851000194,4036.0126667022714,4597.1171875,11071.390625,4033.9765625,8,5097.574007281462,0.1958981750712458,0.3538310010553686,0.9986,0.99876,0.994763,500000,varyM
HNSW,32,200,320,127.30076851000194,4036.0126667022714,4597.1171875,11071.390625,4033.9765625,8,2998.0155619326665,0.3341880993995195,0.6332621536959777,0.999,0.99951,0.998716,500000,varyM
HNSW,32,200,640,127.30076851000194,4036.0126667022714,4597.1171875,11071.390625,4033.9765625,8,1643.0373952896728,0.6069981145332956,1.14416617177485,0.9996,0.99989,0.999755,500000,varyM
HNSW,48,200,10,130.37272766400565,4097.019563674927,4658.49609375,11015.44140625,4095.3046875,8,27924.507958049766,0.03575024280192641,0.05578223601187346,0.9367,0.89585,0.641363,500000,varyM
HNSW,48,200,20,130.37272766400565,4097.019563674927,4658.49609375,11015.44140625,4095.3046875,8,19627.277644291666,0.05097178906435147,0.08183335169305792,0.9761,0.95853,0.805684,500000,varyM
HNSW,48,200,40,130.37272766400565,4097.019563674927,4658.49609375,11015.44140625,4095.3046875,8,12994.243152670879,0.07707661733196194,0.13185740396293114,0.9914,0.98523,0.927785,500000,varyM
HNSW,48,200,80,130.37272766400565,4097.019563674927,4658.49609375,11015.44140625,4095.3046875,8,8140.604627347752,0.12266109696841644,0.21848918582254553,0.9971,0.99529,0.980169,500000,varyM
HNSW,48,200,160,130.37272766400565,4097.019563674927,4658.49609375,11015.44140625,4095.3046875,8,4852.270633563621,0.2060462947001118,0.3873336397504317,0.9989,0.99852,0.994885,500000,varyM
HNSW,48,200,320,130.37272766400565,4097.019563674927,4658.49609375,11015.44140625,4095.3046875,8,2703.974978470584,0.3692229392368366,0.693373873794917,0.9993,0.9994,0.998634,500000,varyM
HNSW,48,200,640,130.37272766400565,4097.019563674927,4658.49609375,11015.44140625,4095.3046875,8,1659.263439994808,0.6029639705307394,1.155059225480363,0.9996,0.99979,0.999679,500000,varyM
