family,scenario,threshold,threshold_fallback,recall_100,qps,size_mb,latency_ms,latency_p99_ms,build_s,rss_mb,rss_peak_mb,rss_delta_mb,config
IVFFlat,best_qps_at_0.9,0.9,False,0.944522,1161.6897818281182,10050.923098564148,0.8614955321332672,0.8632997854758578,746.9430006469993,14201.16015625,26269.09765625,13042.23828125,"nlist=4096.0, nprobe=16.0"
IVFFlat,best_qps_at_0.8,0.8,False,0.864266,3969.2644106558114,10147.016848564148,0.2519972452675574,0.2521448228329828,2941.8852853309945,15563.05078125,26106.9140625,14104.97265625,"nlist=16384.0, nprobe=16.0"
IVFFlat,best_qps_at_0.5,0.5,False,0.560336,8897.212709871363,10147.016848564148,0.1124454705335665,0.1126473906729952,2941.8852853309945,15563.05078125,26106.9140625,14104.97265625,"nlist=16384.0, nprobe=4.0"
IVFFlat,best_qps_at_0.2,0.2,False,0.398082,16227.458125476496,10050.923098564148,0.0621825723336466,0.0635052418049308,746.9430006469993,14201.16015625,26269.09765625,13042.23828125,"nlist=4096.0, nprobe=1.0"
IVFPQ,best_recall,0.0,True,0.770916,279.86759712274016,176.17496871948242,3.573283952600226,3.573759310947935,180.72702600300545,4047.84765625,18424.06640625,-85.3828125,"nlist=1024.0, nprobe=256.0, M=128.0, nbits=8.0"
IVFPQ,best_footprint,0.0,True,0.575718,1197.3800079190396,58.8806266784668,0.83530250506689,0.8390834534633322,167.49576243699994,7986.859375,18000.8671875,4362.17578125,"nlist=1024.0, nprobe=256.0, M=32.0, nbits=8.0"
IVFPQ,best_qps_at_0.5,0.5,False,0.534122,58466.86229104568,97.97874069213869,0.017088602266449,0.017107725363603,161.1393403930051,4401.0,16472.57421875,-2964.41015625,"nlist=1024.0, nprobe=1.0, M=64.0, nbits=8.0"
IVFPQ,best_qps_at_0.2,0.2,False,0.492084,76321.2358399998,58.8806266784668,0.013271432800199,0.0136378779878723,167.49576243699994,7986.859375,18000.8671875,4362.17578125,"nlist=1024.0, nprobe=1.0, M=32.0, nbits=8.0"
IVFSQ,best_recall,0.0,True,0.992334,21.20056232716692,2514.071578979492,47.17280775239973,47.21146007770388,19.764869829996314,7828.33203125,18082.203125,3220.77734375,"nlist=256.0, nprobe=256.0, sq=SQ8"
IVFSQ,best_footprint,0.0,True,0.888972,29.02111407964678,1262.9319305419922,34.45168138606629,34.45896508028725,19.679556172995945,6832.36328125,17065.7109375,307.43359375,"nlist=256.0, nprobe=256.0, sq=SQ4"
IVFSQ,best_qps_at_0.95,0.95,False,0.988164,96.71742422417378,2514.071578979492,10.338700945132588,10.343120770211067,19.764869829996314,7828.33203125,18082.203125,3220.77734375,"nlist=256.0, nprobe=16.0, sq=SQ8"
IVFSQ,best_qps_at_0.9,0.9,False,0.948128,424.6919927926325,2514.071578979492,2.354309476466733,2.3557377072004018,19.764869829996314,7828.33203125,18082.203125,3220.77734375,"nlist=256.0, nprobe=4.0, sq=SQ8"
IVFSQ,best_qps_at_0.8,0.8,False,0.862634,516.9435552583968,1262.9319305419922,1.9350657273995848,1.9381623399031231,19.679556172995945,6832.36328125,17065.7109375,307.43359375,"nlist=256.0, nprobe=4.0, sq=SQ4"
IVFSQ,best_qps_at_0.5,0.5,False,0.684206,2582.3852771209336,1262.9319305419922,0.3872066130662763,0.3878072911119961,19.679556172995945,6832.36328125,17065.7109375,307.43359375,"nlist=256.0, nprobe=1.0, sq=SQ4"
IVFSQ,best_qps_at_0.2,0.2,False,0.684206,2582.3852771209336,1262.9319305419922,0.3872066130662763,0.3878072911119961,19.679556172995945,6832.36328125,17065.7109375,307.43359375,"nlist=256.0, nprobe=1.0, sq=SQ4"
LSH,best_recall,0.0,True,0.39441,248.8992195314412,657.5699129104614,4.017143149599239,4.018655318779289,156.63829283000086,2835.30078125,13761.62109375,651.91015625,nbits=4096.0
LSH,best_footprint,0.0,True,0.192092,8877.592882038458,20.549145698547363,0.1125409005985905,0.1127349290949059,8.403036863994203,2119.16796875,12376.671875,67.078125,nbits=128.0
LSH,best_qps_at_0.2,0.2,False,0.252022,5146.326621649046,41.0982027053833,0.1941594155320975,0.1952845295434817,11.781949968004485,2142.3125,12399.81640625,83.48046875,nbits=256.0
