algo,nbits,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base
LSH,128,2.811550090998935,8.629483222961426,2110.64453125,6409.4609375,43.1328125,8,18001.52054893774,0.0557401638987357,0.0625411979592172,0.0572,0.11107,0.219976,500000
LSH,256,4.666544774998329,17.258877754211426,2120.85546875,6468.5,8.05859375,8,10600.755937928914,0.0950641959367203,0.1034155736895627,0.0913,0.17052,0.283108,500000
LSH,512,8.407424503995571,34.517666816711426,2219.48828125,6615.96484375,98.07421875,8,5825.547937577136,0.171635722064578,0.1815362479799659,0.1531,0.23502,0.341713,500000
LSH,1024,15.875758759000746,69.03524494171143,2250.9765625,6745.109375,62.3046875,8,1635.9603285074909,0.6111661686675992,0.7159023815853288,0.1983,0.2856,0.379922,500000
LSH,2048,30.74667661800049,138.07040119171145,2316.8984375,7006.34375,128.20703125,8,959.1251614379712,1.042062980067567,1.3795936413036545,0.2431,0.32265,0.407023,500000
LSH,4096,60.73213221599872,276.1407136917114,2501.55859375,7581.62890625,244.25,8,514.5059311915726,1.9446627976016315,2.304900822669151,0.2695,0.34335,0.420694,500000
