algo,M,efConstruction,efSearch,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base,study
HNSW,32,200,320,127.36405289200049,4036.012666702272,4594.2265625,10902.50390625,4033.97265625,8,2999.1396805877885,0.3333244792658661,0.6200962149952829,0.9989,0.9995,0.998682,500000,varyM
HNSW,32,200,640,127.36405289200049,4036.012666702272,4594.2265625,10902.50390625,4033.97265625,8,1642.018227334872,0.6096071545985372,1.1403499992142314,0.9995,0.99987,0.999733,500000,varyM
HNSW,48,200,10,130.32226328900288,4097.019563674927,4655.08203125,10992.08984375,4094.796875,8,28003.18121731271,0.0356756905981455,0.0555056140037777,0.9367,0.89612,0.64115,500000,varyM
HNSW,48,200,20,130.32226328900288,4097.019563674927,4655.08203125,10992.08984375,4094.796875,8,19532.032311175717,0.0513118041015938,0.0822670280394959,0.976,0.9588,0.8058,500000,varyM
HNSW,48,200,40,130.32226328900288,4097.019563674927,4655.08203125,10992.08984375,4094.796875,8,12982.24280522528,0.077108287433172,0.1321919042195077,0.9912,0.98523,0.927775,500000,varyM
HNSW,48,200,80,130.32226328900288,4097.019563674927,4655.08203125,10992.08984375,4094.796875,8,8148.751574674589,0.1227601185323389,0.2200133360034669,0.997,0.99521,0.980112,500000,varyM
HNSW,48,200,160,130.32226328900288,4097.019563674927,4655.08203125,10992.08984375,4094.796875,8,4846.219355487761,0.2063580911351891,0.3858557093772105,0.9989,0.9985,0.994885,500000,varyM
HNSW,48,200,320,130.32226328900288,4097.019563674927,4655.08203125,10992.08984375,4094.796875,8,2715.2432422142238,0.3683181170661555,0.6948414298152784,0.9993,0.9994,0.998629,500000,varyM
HNSW,48,200,640,130.32226328900288,4097.019563674927,4655.08203125,10992.08984375,4094.796875,8,1645.3812721883146,0.6071276995991259,1.199950577749405,0.9996,0.9997,0.99958,500000,varyM
HNSW,32,40,10,49.77823160900152,4036.012666702272,4603.859375,10970.13671875,4033.98828125,8,22287.79653533292,0.0448902097966007,0.0644925499662349,0.9486,0.92098,0.753634,500000,varyEFC
HNSW,32,40,20,49.77823160900152,4036.012666702272,4603.859375,10970.13671875,4033.98828125,8,16037.805907049802,0.0623708200017669,0.0965338920374051,0.9789,0.96457,0.874004,500000,varyEFC
HNSW,32,40,40,49.77823160900152,4036.012666702272,4603.859375,10970.13671875,4033.98828125,8,10937.653656956149,0.0914163535327437,0.1523827017728763,0.9914,0.98649,0.948796,500000,varyEFC
HNSW,32,40,80,49.77823160900152,4036.012666702272,4603.859375,10970.13671875,4033.98828125,8,6998.5392746833,0.1429129036315619,0.2521099757854245,0.9969,0.99523,0.981775,500000,varyEFC
HNSW,32,40,160,49.77823160900152,4036.012666702272,4603.859375,10970.13671875,4033.98828125,8,4203.683844192447,0.2378280149005149,0.4486473518234561,0.9985,0.99828,0.994045,500000,varyEFC
HNSW,32,40,320,49.77823160900152,4036.012666702272,4603.859375,10970.13671875,4033.98828125,8,2442.776972910425,0.4093675080336349,0.7729990133768296,0.9991,0.99928,0.998275,500000,varyEFC
HNSW,32,40,640,49.77823160900152,4036.012666702272,4603.859375,10970.13671875,4033.98828125,8,1338.8447500478785,0.7463843652999155,1.4249785739360958,0.9995,0.99981,0.999577,500000,varyEFC
HNSW,32,100,10,65.28222031900077,4036.012666702272,4601.81640625,10540.09375,4033.96875,8,31532.354696509763,0.0318731507324021,0.0473852320101286,0.9209,0.87586,0.615177,500000,varyEFC
HNSW,32,100,20,65.28222031900077,4036.012666702272,4601.81640625,10540.09375,4033.96875,8,22628.43521946371,0.0443171029009439,0.0683426942327059,0.9688,0.94832,0.782372,500000,varyEFC
HNSW,32,100,40,65.28222031900077,4036.012666702272,4601.81640625,10540.09375,4033.96875,8,15282.536271404637,0.065414526732881,0.1073798399520455,0.9867,0.9798,0.909852,500000,varyEFC
HNSW,32,100,80,65.28222031900077,4036.012666702272,4601.81640625,10540.09375,4033.96875,8,9765.365769585153,0.1024680768663529,0.1785298080532811,0.9956,0.99325,0.970903,500000,varyEFC
HNSW,32,100,160,65.28222031900077,4036.012666702272,4601.81640625,10540.09375,4033.96875,8,5920.559313438445,0.1688774577001216,0.3091546535710222,0.9984,0.99804,0.991274,500000,varyEFC
HNSW,32,100,320,65.28222031900077,4036.012666702272,4601.81640625,10540.09375,4033.96875,8,3487.843487226989,0.286899731700881,0.5423502479643503,0.9991,0.99926,0.997445,500000,varyEFC
HNSW,32,100,640,65.28222031900077,4036.012666702272,4601.81640625,10540.09375,4033.96875,8,1938.528055257855,0.5168873841994355,0.9608302652530256,0.9996,0.99967,0.999343,500000,varyEFC
HNSW,32,200,10,127.34418152299986,4036.012666702272,4601.0859375,11025.36328125,4033.31640625,8,29281.63128012647,0.0342885868325538,0.0523409739536873,0.9364,0.89258,0.63412,500000,varyEFC
HNSW,32,200,20,127.34418152299986,4036.012666702272,4601.0859375,11025.36328125,4033.31640625,8,20534.84772800508,0.0486949506665647,0.0788460880328784,0.9744,0.95804,0.801117,500000,varyEFC
HNSW,32,200,40,127.34418152299986,4036.012666702272,4601.0859375,11025.36328125,4033.31640625,8,13621.774462034984,0.0733821535310805,0.1242829997849185,0.9913,0.98616,0.925553,500000,varyEFC
HNSW,32,200,80,127.34418152299986,4036.012666702272,4601.0859375,11025.36328125,4033.31640625,8,8558.041435048022,0.116879523568059,0.2078220000570581,0.9975,0.99586,0.979446,500000,varyEFC
HNSW,32,200,160,127.34418152299986,4036.012666702272,4601.0859375,11025.36328125,4033.31640625,8,5103.1533818716,0.1959405896319367,0.367660765810433,0.9985,0.99874,0.994741,500000,varyEFC
HNSW,32,200,320,127.34418152299986,4036.012666702272,4601.0859375,11025.36328125,4033.31640625,8,3001.0723455712514,0.3332551315339515,0.6271527919678191,0.9989,0.9995,0.99868,500000,varyEFC
HNSW,32,200,640,127.34418152299986,4036.012666702272,4601.0859375,11025.36328125,4033.31640625,8,1635.5488869131827,0.611046682064989,1.151947526576259,0.9995,0.99988,0.99974,500000,varyEFC
HNSW,32,400,10,252.11920119599745,4036.0126667022714,4599.09375,11162.671875,4034.66796875,8,27009.38238171646,0.0370216093680937,0.0572109859276679,0.9425,0.90081,0.642887,500000,varyEFC
HNSW,32,400,20,252.11920119599745,4036.0126667022714,4599.09375,11162.671875,4034.66796875,8,18745.825749769523,0.0533237217348262,0.0855407961920718,0.9802,0.96426,0.810533,500000,varyEFC
HNSW,32,400,40,252.11920119599745,4036.0126667022714,4599.09375,11162.671875,4034.66796875,8,12324.301476763274,0.0812205596344332,0.1390127040591323,0.9932,0.98903,0.933021,500000,varyEFC
HNSW,32,400,80,252.11920119599745,4036.0126667022714,4599.09375,11162.671875,4034.66796875,8,7653.958018439654,0.1306162076609325,0.2324239076071534,0.9984,0.99741,0.9839,500000,varyEFC
HNSW,32,400,160,252.11920119599745,4036.0126667022714,4599.09375,11162.671875,4034.66796875,8,4495.233161027619,0.2223085110342557,0.4060705933297867,0.9992,0.99934,0.996629,500000,varyEFC
HNSW,32,400,320,252.11920119599745,4036.0126667022714,4599.09375,11162.671875,4034.66796875,8,2623.225888560464,0.380923576933128,0.7052696017795824,0.9995,0.99974,0.999325,500000,varyEFC
HNSW,32,400,640,252.11920119599745,4036.0126667022714,4599.09375,11162.671875,4034.66796875,8,1435.1466352997993,0.6990713587331508,1.2992118695678072,0.9998,0.99994,0.999887,500000,varyEFC
