algo,nlist,nprobe,M,nbits,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base
IVFPQ,1024,1,32,8,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,44425.41851890866,0.0230990532682578,0.0604884740037959,0.3326,0.45528,0.499929,500000
IVFPQ,1024,4,32,8,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,37186.73748277896,0.0271858726320109,0.0335029440335347,0.3568,0.50524,0.59845,500000
IVFPQ,1024,16,32,8,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,21884.943820999582,0.0458404918659653,0.0555815202598751,0.3584,0.50904,0.606604,500000
IVFPQ,1024,64,32,8,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,8247.955379304722,0.1214769790677867,0.1392594478253158,0.3584,0.50912,0.606845,500000
IVFPQ,1024,256,32,8,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,2832.612305892474,0.3529813145994315,0.4056098318054864,0.3584,0.50912,0.606849,500000
IVFPQ,1024,1024,32,8,195.3030141950003,29.08147048950196,6962.27734375,12541.1015625,61.9140625,8,1032.7131264771328,0.9663453765995657,1.1392997823822952,0.3584,0.50912,0.606849,500000
IVFPQ,1024,1,64,8,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,40140.19702397011,0.0249461118660595,0.0274133699975209,0.4375,0.52479,0.528919,500000
IVFPQ,1024,4,64,8,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,29191.669903601527,0.0345493683656968,0.0734277920251769,0.4865,0.60832,0.673602,500000
IVFPQ,1024,16,64,8,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,14320.65629841013,0.0695663226305138,0.099201563803217,0.4909,0.61632,0.690301,500000
IVFPQ,1024,64,64,8,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,4794.060282034129,0.2086452039330955,0.2408591800674912,0.491,0.61658,0.691026,500000
IVFPQ,1024,256,64,8,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,1412.1167945115783,0.7088560731330896,0.9117983579548308,0.491,0.6166,0.691047,500000
IVFPQ,1024,1024,64,8,178.9395688079967,44.34025955200195,6910.83984375,13513.66015625,97.875,8,573.3250712694847,1.7444765512650824,1.895206954211608,0.491,0.6166,0.691047,500000
IVFPQ,1024,1,128,8,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,30964.973994464883,0.0324812056340306,0.0382968140496813,0.5269,0.57949,0.54906,500000
IVFPQ,1024,4,128,8,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,19247.18074653053,0.0532243170325576,0.1174094579546362,0.6219,0.71059,0.75152,500000
IVFPQ,1024,16,128,8,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,7490.730110993717,0.1338188584997018,0.1739826099976198,0.6331,0.72832,0.785601,500000
IVFPQ,1024,64,128,8,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,1916.594698679115,0.5197059428994787,0.7160701840453839,0.6334,0.72929,0.787989,500000
IVFPQ,1024,256,128,8,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,668.1083221174254,1.494797090267093,1.632656474606483,0.6334,0.72933,0.788075,500000
IVFPQ,1024,1024,128,8,186.414402653998,74.85783767700195,6969.3125,15620.13671875,113.5859375,8,255.6526734160824,3.911650793935528,4.157535499575897,0.6334,0.72933,0.788076,500000
IVFPQ,4096,1,32,8,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,15397.388039119784,0.0666979410997252,0.1548748059867647,0.3137,0.40209,0.345789,500000
IVFPQ,4096,4,32,8,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,14931.239172505237,0.0677803656673252,0.1109932099614524,0.3675,0.49876,0.561425,500000
IVFPQ,4096,16,32,8,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,13624.2546588783,0.0745888504312461,0.1622670879616634,0.3719,0.50781,0.588253,500000
IVFPQ,4096,64,32,8,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,10667.969365134824,0.0955560606992852,0.1670015658171905,0.3719,0.50825,0.589497,500000
IVFPQ,4096,256,32,8,678.148329738,53.10490798950195,6996.59375,12575.41796875,128.0078125,8,5515.514863394745,0.1813424987694209,0.2437421520189673,0.3719,0.50826,0.589511,500000
