algo,sq,nlist,nprobe,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,faiss_threads,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100,n_base
IVFSQ,SQ8,256,1,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,5208.76765231542,0.1911294141331988,0.3484809651701652,0.7644,0.74739,0.694823,500000
IVFSQ,SQ8,256,4,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,1352.1920572113431,0.739800659899629,1.0771837823725945,0.9548,0.95099,0.935638,500000
IVFSQ,SQ8,256,16,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,358.6934018512023,2.7857151048333133,3.3313449992150708,0.9826,0.98461,0.986948,500000
IVFSQ,SQ8,256,64,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,120.8443765362139,8.276412547633905,8.68005952615349,0.9847,0.98759,0.993006,500000
IVFSQ,SQ8,256,256,45.27521496400004,982.3949508666992,7070.1953125,11363.18359375,225.640625,8,62.35519995772347,16.037257697700017,16.5653415910092,0.9847,0.98768,0.993241,500000
IVFSQ,SQ4,256,1,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,4272.905391113202,0.2342319503316199,0.4271068033907795,0.6145,0.67494,0.668454,500000
IVFSQ,SQ4,256,4,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,1129.014653794442,0.8841768956657082,1.303541590597888,0.7438,0.82148,0.86466,500000
IVFSQ,SQ4,256,16,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,339.10604581725426,2.949111935433272,3.428454329012311,0.7629,0.84033,0.896779,500000
IVFSQ,SQ4,256,64,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,128.8331484732668,7.764287560635057,7.953246429772117,0.7645,0.84194,0.900441,500000
IVFSQ,SQ4,256,256,45.25290466800288,494.1137008666992,6964.3125,11263.12890625,45.28515625,8,69.35114720817865,14.418522868200188,14.502180952017806,0.7645,0.84199,0.900586,500000
IVFSQ,SQ8,1024,1,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,28548.54218401549,0.0361965796012858,0.0999533879614318,0.7007,0.65608,0.567765,500000
IVFSQ,SQ8,1024,4,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,11274.996454313428,0.0892289819336535,0.1243568141893774,0.926,0.91063,0.87063,500000
IVFSQ,SQ8,1024,16,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,2826.699411889889,0.3565942906314982,0.5198233800205344,0.9777,0.9795,0.973561,500000
IVFSQ,SQ8,1024,64,166.02967457499835,988.4008102416992,7013.76171875,11300.6171875,175.33984375,8,688.6242205081883,1.4533218560328047,1.699342604143021,0.9848,0.98919,0.992664,500000
