family,n,config,build_s,size_mb,rss_mb,rss_peak_mb,rss_delta_mb,qps,latency_ms,latency_p99_ms,recall_1,recall_10,recall_100
IVFSQ,500000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",310.9978217629996,1012.4242477416992,2535.921875,6832.6171875,344.19921875,3067.6529001897775,0.32632165626666393,0.32735091044882136,0.98352,0.984176,0.9759336
HNSW,500000,"{'M': 32, 'efC': 200, 'efS': 160}",127.86476736999975,4036.0126667022705,5890.26953125,12232.8125,4034.59375,4306.539047701716,0.23219080521332217,0.23221106568640826,0.99704,0.99704,0.9909348
LSH,500000,{'nbits': 4096},61.16579916199953,276.1407136917114,1944.21875,7024.2890625,244.63671875,609.9213774624765,1.6402863861066603,1.6417548558143813,0.30364,0.391688,0.465494
IVFFlat,1000000,"{'nlist': 4096, 'nprobe': 64}",360.55498731100033,7852.16077709198,11434.80859375,19449.703125,9758.46875,295.40707226616934,3.385862566466676,3.387952590609607,0.9972,0.995328,0.9880452
IVFPQ,1000000,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",388.1215871539998,102.69597244262695,4403.4140625,14267.79296875,439.828125,9355.798528653944,0.1065147490666762,0.10772344780161147,0.43836,0.556112,0.6312244
IVFSQ,1000000,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",370.1828466759998,1992.8014450073242,3593.140625,11739.625,1056.6328125,1349.305588919004,0.740615315160006,0.7422053157775998,0.98212,0.983672,0.9829772
HNSW,1000000,"{'M': 32, 'efC': 200, 'efS': 160}",316.90085539399934,8072.0229206085205,10131.703125,21753.9296875,8070.65625,3860.745271564671,0.25909620572002795,0.2593038955232259,0.99804,0.997804,0.992148
LSH,1000000,{'nbits': 4096},122.73283589099992,520.2813386917114,1369.8515625,10358.109375,569.37890625,316.92693847791327,3.1611126990399985,3.1741817675599946,0.26548,0.342608,0.4162116
IVFFlat,1281167,"{'nlist': 4096, 'nprobe': 64}",404.1206294120002,10050.923098564148,6292.27734375,24173.62109375,5440.078125,225.17370654820485,4.441302992480002,4.442897354724023,0.9974,0.99574,0.9900628
IVFPQ,1281167,"{'nlist': 4096, 'nprobe': 64, 'M': 64}",436.40428849899945,122.00217819213867,2665.26953125,14626.8046875,-362.79296875,7787.376208696096,0.12856684351999623,0.128933709031179,0.42756,0.545732,0.6292964
IVFSQ,1281167,"{'nlist': 4096, 'nprobe': 64, 'sq': 'SQ8'}",406.04671295299886,2544.100875854492,5273.90234375,15287.890625,2587.5859375,997.4429616868239,1.0024156833600137,1.0030683308384019,0.9814,0.983216,0.984232
HNSW,1281167,"{'M': 32, 'efC': 200, 'efS': 160}",399.80047785900024,10341.63600730896,10719.00390625,20753.96484375,8628.52734375,3762.1213765627367,0.266151142013332,0.2669450361152282,0.998,0.997868,0.99197
LSH,1281167,{'nbits': 4096},198.185509121,657.5699129104614,614.69140625,11659.14453125,58.39453125,249.7141295044787,3.999973642226663,4.011163166837602,0.26104,0.32586,0.3965292
