family,n,config,build_s,size_mb,rss_mb,rss_peak_mb,qps,latency_ms,recall_1,recall_10,recall_100
IVFFlat,50000,"{'nlist': 256, 'nprobe': 64}",4.740711315000226,393.0085554122925,1427.25390625,1427.25390625,931.0945630955352,1.0737359823999941,0.99764,0.996164,0.99436
IVFPQ,50000,"{'nlist': 256, 'nprobe': 64, 'M': 64}",8.80911493900021,7.435352325439453,3902.88671875,3902.88671875,15435.869767466147,0.06474226254002133,0.56668,0.651632,0.672976
IVFSQ,50000,"{'nlist': 256, 'nprobe': 64, 'sq': 'SQ8'}",5.120719479999025,100.05547332763672,1562.109375,1562.109375,3482.8577683932735,0.2870897500599676,0.99056,0.989932,0.9902948
HNSW,50000,"{'M': 32, 'efC': 200, 'efS': 160}",3.5403615699997317,403.60696601867676,2042.34375,2042.34375,16269.389297687365,0.061320061900005385,0.99036,0.99068,0.97709
LSH,50000,{'nbits': 1024},1.6024828890003846,14.103604316711426,1885.2265625,1885.2265625,12171.365897074471,0.08212896744000318,0.356,0.46604,0.498862
