family,threshold,threshold_fallback,recall_100,qps,size_mb,build_s,rss_mb,rss_peak_mb,config
HNSW,0.95,False,0.9597396,15455.207611289345,788.9359912872314,9.218743610001184,2718.1171875,2718.1171875,"M=8.0, efConstruction=200.0, efSearch=160.0"
IVFFlat,0.95,False,0.9780048,1235.4422213762284,790.020884513855,27.35894564099908,3321.78125,3321.78125,"nlist=1024.0, nprobe=64.0"
IVFPQ,0.5,False,0.5493796,87889.5143307578,7.816822052001953,32.51028783499896,4612.30078125,4612.30078125,"nlist=256.0, nprobe=4.0, M=32.0, nbits=8.0"
IVFSQ,0.95,False,0.991324,843.4613582399057,198.0931930541992,7.020169866000288,3204.6328125,3204.6328125,"nlist=256.0, nprobe=64.0, sq=SQ8"
LSH,0.2,False,0.253078,59939.40840272399,2.525967597961426,0.5719557219999842,2469.46875,2469.46875,nbits=128.0
