algo,nlist,nprobe,M,nbits,build_s,size_mb,rss_mb,rss_peak_mb,qps,latency_ms,recall_1,recall_10,recall_100,n_base
IVFPQ,256,1,32,8,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,128852.16961714174,0.007714129140003934,0.33064,0.408064,0.3827336,100000
IVFPQ,256,4,32,8,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,87889.5143307578,0.011332655219994194,0.4038,0.517212,0.5493796,100000
IVFPQ,256,16,32,8,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,40071.408275396876,0.024923854519984162,0.41456,0.536856,0.5794688,100000
IVFPQ,256,64,32,8,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,14215.518154554442,0.07000917119996303,0.41524,0.538548,0.5819124,100000
IVFPQ,256,256,32,8,32.51028783499896,7.816822052001953,4612.30078125,4612.30078125,5632.33094888812,0.17740166292001958,0.41524,0.538584,0.5819588,100000
IVFPQ,256,1,64,8,12.467062310999609,10.868579864501953,5478.65625,5478.65625,95678.71009576556,0.010449411340014194,0.40464,0.45446,0.398592,100000
IVFPQ,256,4,64,8,12.467062310999609,10.868579864501953,5478.65625,5478.65625,60064.7373895254,0.016628113160004433,0.51704,0.608596,0.6180872,100000
IVFPQ,256,16,64,8,12.467062310999609,10.868579864501953,5478.65625,5478.65625,24462.119695791804,0.04083088446001057,0.5368,0.641784,0.668358,100000
IVFPQ,256,64,64,8,12.467062310999609,10.868579864501953,5478.65625,5478.65625,8133.857669735235,0.12293250549999357,0.5386,0.645616,0.6735588,100000
IVFPQ,256,256,64,8,12.467062310999609,10.868579864501953,5478.65625,5478.65625,3109.4528635583565,0.32143739842002106,0.53876,0.645708,0.6736964,100000
