algo,sq,nlist,nprobe,build_s,size_mb,rss_mb,rss_peak_mb,qps,latency_ms,recall_1,recall_10,recall_100,n_base
IVFSQ,SQ8,256,1,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,45809.42994230737,0.021806792699971992,0.58472,0.52484,0.414398,100000
IVFSQ,SQ8,256,4,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,12234.573581056735,0.08170654364002986,0.88032,0.84188,0.767794,100000
IVFSQ,SQ8,256,16,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,2989.3275394084544,0.33440448188001026,0.9724,0.964824,0.9480804,100000
IVFSQ,SQ8,256,64,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,843.4613582399057,1.1831602635599847,0.98776,0.990124,0.991324,100000
IVFSQ,SQ8,256,256,7.020169866000288,198.09319305419922,3204.6328125,3204.6328125,315.4298601265425,3.1664655336999927,0.9904,0.992704,0.9946144,100000
