algo,nbits,build_s,size_mb,rss_mb,rss_peak_mb,qps,latency_ms,recall_1,recall_10,recall_100,n_base
LSH,128,0.5719557219999842,2.525967597961426,2469.46875,2469.46875,59939.40840272399,0.01681400674669324,0.12688,0.202848,0.253078,100000
LSH,256,0.9343880400010676,5.051846504211426,2574.484375,2574.484375,38124.43487671884,0.026355887893320565,0.19964,0.301164,0.356078,100000
LSH,512,1.6937382350006374,10.103604316711426,2714.6015625,2714.6015625,21934.520780759416,0.04559038426668849,0.26896,0.378788,0.436232,100000
LSH,1024,3.1871266279995325,20.207119941711426,2812.40625,2812.40625,7596.443127764522,0.13166512580001533,0.32324,0.43894,0.4943392,100000
